rip_geog,ateco2007,forma_giu,anno,unit_loc,gruppo,PER_tot,PER_dir,PER_qua,PER_imp,PER_ope,DIP_dic13,PER_indet,PER_deter,PER_appre,PER_chiam,DIP_TemPar_tot,DIP_TemPar_indet,DIP_TemPar_term,ORE14,FAT14
2,Fabbricazione di altre parti ed accessori per autoveicoli e loro motori,13,1986,16,2,881,9,11,191,670,864,860,0,21,0,50,50,0,1384863,159240456
2,Produzione di software non connesso all'edizione,13,1986,11,1,878,16,60,802,0,494,822,55,1,0,122,111,11,1358838,69532323
1,Assicurazioni diverse da quelle sulla vita,13,1999,1,2,872,10,23,839,0,895,869,3,0,0,448,448,0,1050744,458385000
1,"Commercio all'ingrosso di altre macchine e attrezzature per l'industria, il commercio e la navigazio",13,1958,9,2,862,11,56,368,427,827,828,26,8,0,34,32,2,1370079,247016684
2,"Fabbricazione di altri prodotti in calcestruzzo, gesso e cemento",13,1987,36,1,859,12,60,326,461,825,796,58,5,0,15,15,0,1322882,281916313
2,Fabbricazione di strutture metalliche e parti assemblate di strutture,13,2004,5,1,856,20,15,317,504,660,714,142,0,0,5,4,1,1410798,227935298
1,"Commercio al dettaglio di ferramenta, vernici, vetro piano e materiale elettrico e termoidraulico",13,2003,32,1,852,4,22,774,52,874,707,93,52,0,360,298,62,1598899,149854522
2,"Fabbricazione di altre macchine per l'agricoltura, la silvicoltura e la zootecnia",13,1997,3,1,850,9,27,252,562,953,797,52,1,0,6,5,1,1480000,300000000
1,Fusione di metalli leggeri,13,2002,1,1,849,6,87,45,711,801,848,1,0,0,0,0,0,1308502,135666168
1,Trasporto ferroviario di passeggeri (interurbano),13,1966,0,1,845,12,49,247,537,842,811,34,0,0,11,11,0,1504735,120320443
2,"Fabbricazione di porte, finestre e loro telai, imposte e cancelli metallici",13,1984,4,2,842,40,54,527,221,790,757,64,21,0,42,41,1,1426275,198913366
4,Discount di alimentari,13,1999,89,1,841,0,3,90,748,580,688,153,0,0,378,271,107,72965,392842833
1,Alberghi,13,1967,20,1,838,1,31,296,510,443,300,538,0,0,107,19,88,1344143,105325102
3,Fabbricazione di carta e cartone,13,2001,5,2,837,20,59,262,496,801,782,55,0,0,10,10,0,328397,451637329
3,Servizi di vigilanza privata,13,2009,3,3,816,1,6,7,802,871,760,42,0,14,15,15,0,1719314,41000000
1,Edizione di riviste e periodici,13,1985,6,1,815,48,80,682,5,1153,814,1,0,0,63,63,0,1549764,494878000
1,Fabbricazione di apparecchi elettrici ed elettronici per telecomunicazioni,13,1964,3,1,815,50,81,527,157,731,756,59,0,0,47,46,1,1196276,188220650
1,Fabbricazione di imballaggi in materie plastiche,13,1911,2,1,814,19,23,230,542,772,740,62,12,0,55,55,0,1311000,179000000
2,Trasporto terrestre di passeggeri in aree urbane e suburbane,13,1999,8,3,814,4,9,116,685,810,806,8,0,0,36,36,0,1236222,72813513
1,"Fucinatura, imbutitura, stampaggio e profilatura dei metalli; metallurgia delle polveri",13,1998,1,2,805,7,57,61,680,907,801,4,0,0,33,33,0,1348373,153298368
2,Produzione di carne non di volatili e di prodotti della macellazione (attività dei mattatoi),13,1988,3,1,802,19,17,239,527,843,722,44,36,0,27,26,1,147868,935000000
